user_id,first_name,last_name,email,gender,date,daily_steps,daily_heart_rate,daily_sleep_hours,heart_rate_variability,daily_calories_burned,daily_distance_km,daily_active_minutes,daily_resting_heart_rate,daily_stress_level,daily_blood_pressure_systolic,daily_blood_pressure_diastolic,daily_oxygen_saturation,daily_weight_kg
12346,Reese,Faithorn,rfaithorn0@globo.com,Male,2024-11-21,8809,75,6.7,47,2358,8.0,120,68,5,122,82,98,76.2
12345,Ailene,Marcus,amarcus1@themeforest.net,Female,2024-11-21,8600,76,6.8,45,2399,7.6,118,65,4,124,81,97,76.8
12346,Franny,Arnet,farnet2@constantcontact.com,Male,2024-11-21,9311,75,7.0,48,2394,7.9,112,67,4,120,82,98,75.2
12346,Gardner,Izzatt,gizzatt3@auda.org.au,Male,2024-11-21,9292,77,6.8,50,2213,7.7,119,67,5,122,82,97,75.4
12346,Dotty,Agiolfinger,dagiolfinger4@dailymotion.com,Female,2024-11-21,8535,78,6.9,45,2354,7.9,119,65,4,122,82,97,76.5
12346,Emilio,Perree,eperree5@dion.ne.jp,Male,2024-11-21,8070,79,6.5,45,2363,7.6,113,68,4,125,81,98,77.3
12345,Wallace,Melladew,wmelladew6@csmonitor.com,Male,2024-11-21,8173,75,6.7,46,2308,7.8,112,67,4,120,80,98,76.0
12346,Zelig,Hanniger,zhanniger7@jimdo.com,Male,2024-11-21,8952,76,7.0,46,2392,8.0,113,65,4,120,81,98,76.0
12345,Ferrel,Sidon,fsidon8@blog.com,Male,2024-11-21,9128,80,6.6,47,2454,7.6,115,66,4,121,82,98,76.7
12345,Vail,Sebrook,vsebrook9@rakuten.co.jp,Agender,2024-11-21,9646,78,6.9,46,2500,7.8,110,68,5,120,81,98,75.5
12346,Othello,Salzberg,osalzberga@baidu.com,Male,2024-11-21,9004,75,6.6,46,2264,7.9,115,68,5,124,82,97,75.3
12345,Alessandra,Cretney,acretneyb@economist.com,Female,2024-11-21,8012,75,6.7,48,2283,7.8,118,66,5,120,82,98,76.9
12346,Joseph,Huckell,jhuckellc@mashable.com,Male,2024-11-21,8746,76,6.6,49,2258,8.0,116,67,4,120,81,97,76.8
12346,Katheryn,Rate,krated@google.de,Female,2024-11-21,9188,75,7.1,45,2275,7.6,115,66,5,121,81,98,75.4
12345,Byrle,Shanahan,bshanahane@netlog.com,Male,2024-11-21,8360,80,6.9,50,2375,7.6,110,67,5,122,81,97,76.1
12345,Darby,Cobby,dcobbyf@bbc.co.uk,Male,2024-11-21,9338,79,7.0,45,2287,7.6,112,66,4,124,82,97,75.6
12346,Vere,Barwick,vbarwickg@weebly.com,Female,2024-11-21,8491,80,7.1,50,2403,7.7,119,65,4,125,80,98,76.9
12345,Peadar,Bullant,pbullanth@vinaora.com,Male,2024-11-21,8321,77,6.5,49,2487,7.9,112,68,5,123,82,98,76.0
12346,Wells,Bilyard,wbilyardi@scientificamerican.com,Male,2024-11-21,8205,77,6.9,47,2365,7.8,115,67,4,123,81,97,75.4
12346,Mahalia,Bodemeaid,mbodemeaidj@goo.ne.jp,Female,2024-11-21,9774,77,6.5,49,2463,7.5,117,66,5,124,81,98,75.2
12346,Britney,Rikard,brikardk@nydailynews.com,Female,2024-11-21,8580,76,6.7,46,2441,7.6,112,68,5,121,81,98,76.4
12346,Dexter,Pyford,dpyfordl@sbwire.com,Male,2024-11-21,8719,80,6.9,45,2257,7.9,116,65,5,123,82,98,75.2
12345,Bartlet,Aggett,baggettm@geocities.jp,Bigender,2024-11-21,8379,77,6.6,47,2267,7.6,115,67,4,120,82,98,77.2
12345,Llewellyn,Pilgrim,lpilgrimn@paginegialle.it,Male,2024-11-21,9998,75,7.0,45,2428,7.9,112,65,5,122,82,97,76.2
12346,Brennen,Matchett,bmatchetto@weebly.com,Male,2024-11-21,8694,80,6.6,47,2403,7.6,119,68,4,122,81,97,77.3
12346,Melvyn,Mogg,mmoggp@goo.gl,Agender,2024-11-21,9696,75,6.5,50,2215,7.7,114,66,5,124,82,97,75.4
12345,Gayler,Sirkett,gsirkettq@cafepress.com,Male,2024-11-21,8804,78,6.5,50,2233,7.6,118,65,4,123,82,97,75.6
12345,Roby,Thursfield,rthursfieldr@i2i.jp,Bigender,2024-11-21,8652,77,6.8,45,2362,7.9,111,66,4,123,81,98,77.3
12345,Dorothy,Heckle,dheckles@cdc.gov,Female,2024-11-21,9253,75,7.0,46,2362,8.0,116,67,5,125,81,97,76.3
12345,Vida,Zapata,vzapatat@youku.com,Female,2024-11-21,9568,75,6.7,46,2321,7.8,117,66,5,120,82,97,77.3
12346,Dasya,Norfolk,dnorfolku@ihg.com,Non-binary,2024-11-21,9523,78,6.9,50,2356,7.7,118,68,5,124,82,97,77.3
12346,Marybelle,Piotr,mpiotrv@facebook.com,Female,2024-11-21,8483,76,7.0,50,2216,7.7,114,66,4,123,81,98,75.3
12345,Thebault,Denford,tdenfordw@lycos.com,Male,2024-11-21,9591,79,6.8,45,2365,7.6,117,68,4,121,82,97,75.7
12345,Corena,McPhater,cmcphaterx@delicious.com,Non-binary,2024-11-21,8849,76,6.7,46,2355,7.6,120,68,5,123,81,98,75.4
12346,Melisande,Geddes,mgeddesy@berkeley.edu,Female,2024-11-21,8716,79,7.1,47,2409,7.6,118,67,5,123,80,98,75.8
12346,Osmund,Cronchey,ocroncheyz@dot.gov,Male,2024-11-21,9829,75,6.8,50,2203,7.8,118,67,4,122,81,97,76.8
12345,Codee,Keenlayside,ckeenlayside10@biblegateway.com,Female,2024-11-21,9869,76,7.0,45,2364,7.9,117,67,5,122,82,98,76.4
